Name	Price	Sale	Description	Size	Category	Picture						
JESSE CORSET	€39,90		"The Jesse Corset, features a satin silhouette  with flocked micro-dot tulling, deep V-bust-line
and satin bow accent."	S/M/L 	Corsets							
CORSET+STRING, BLACK	€46,90		"Although men love fast cars ... they are even more crazy for strong, sexy women.  Corset Viper is a proposal for confident girl who are not afraid of change.


No one can stop you. Be unsurpassed!


Corset is made of high quality material and lined, pleasant to the touch, skin.


SET INCLUDES:


corset and string




Delivered in its original beauty-full bordo glossy Box"	S/L/XL/XXL	Corsets							
CORSET, PURPLE	€24,95	€19,90	The ultimate seducer!  Strapless corsage in a purple wetlook design with forming bones and lacing in the back. Hook and eye closure in the front. Ruffled lace edgings. With matching string. 100% polyester.	L/XL	Corsets							
BLACK CORSET	€69,95	€35,90	Corsage with hook-and-eye facing in the front and with lacing in the back. Removable suspenders, 6 forming bones. Not suitable for lacing an hourglass silhouette. 	XL/XXL	Corsets							
CORSET, RED	€59,95	€19,90	Exciting figure-shaper!  Either on naked skin or worn absolutely stylish over a blouse (see image): Bordeaux corsage with bones, black framing and black decorative lacing in the back. Hook closure in the front. Plus bordeaux thong. 100% polyester.	S/L/XL 	Corsets							
CARMENCITA CORSET+STRING	€39,90		"Carmencita - Feel like Zorros lover and dance a sensual dance for him  let him be your prey in view. If you want that he doesn't take his eyes

away from you this Corset is a perfect choice its beautiful design and

figure modeling shape makes you look extraordinary attractive, its an

ardently decorated corset with red matching lace decos and its fitting

string. Its fantastic !


SET INCLUDES:


corset and string


Delivered in its original beauty-full bordo glossy Box
"	S/M/L/XL/XXL	Corsets							
CORSAGE WITH G-STRING	€31,90	€9,90	Lovely black corsage with matching G-string. The corsage has bones and is strapless. It has a double hook closure in the back and is adorned just with simple bows and ribbons. The G-string has flexible ribbons in the sides, a gusset and an additional discreet bow.  	S/M 	Corsets							
CORSET, BLUE	€49,90	€35,90	"Shine your femeninity!  Elegant brocade corset with black satin piping at edgings. With integrated forming bones, front hook-and-eye closure and black faux-lacing in the back. 

60% polyester, 40% cotton."	S/XL 	Corsets							
BLACK LEVEL - VINYL SET	€39,90		Cupless yet underwired, black vinyl corset with forming bones, Full front zipper and lacing in the back, Comes with a simple black vinyl thong, Set doesn\'t include stockings, 50% polyester, 50% polyurethane	S/L/XL/2XL	Corsets							
CORSAGE UND RIO	€33,90	€19,90	"Sinfully beautiful in fiery red!  Smooth, shining premium satin, accentuated by beautiful lace akzentuiert.Corsage with bones and double hook-and-eye closure in the back. Straps are all removable. Rio thong included. Smooth, shining premium satin with lace in fiery red. 85% Polyamide, 15% Spandex.


Without stockings."	S 	Corsets							
CORSET BLACK	€39,90		Black Corset without strings. 65% Polyester, 25% Cotton, 10% Spandex 	S/M/L/XL/XXL 	Corsets							
BURLESQUE CORSET & PETTICOAT	€49,90		Burlesque Corset & Petticoat. 	S/M/L 	Corsets							
PINK BURLESQUE CORSET & WHITE PETTICOAT	€49,90		Burlesque strapless corset with side hook & eye closure, lace-up back and matching thong. Comes with matching petticoat. 	ONE	Corsets							
BROCADE STEAMPUNK CORSET WITH CLASP FASTENERS M	€36,00		Brocade Steampunk Corset with Clasp Fasteners.  Material : 90%polyester + 10%spandex	S/M/L/XL/XXL 	Corsets							
FESTIVE RED JACQUARD CORSET S	€45,90		Festive Red Jacquard Corset of dear-lover features red jacquard print, front exposed zipper and buckles closure, sides with gold chains embellishment and strong cord lace-up back. Nice top to match any of your bottom and special for the coming Valentine of 2013. 90%polyester + 10%spandex	S/M/L/XL/XXL 	Corsets							
FRONT ZIP AND BACK TIE CORSET	€39,90		Front Zip and Back Tie Corset 	S/M/L/XL/XXL 	Corsets							
RED CORSET + STRING	€35,90		"Be his own beauty goddess and prove him, that theres no sexiest woman in the world! This exclusive corset will underline all your charms and youll become his dreamed temptress!Special cut will make your waist tight like top models and your breast will look fabulous! The corset is made from satin red with black lace covered with black lace. 

Package includes:


-corset


-string"	S/L 	Corsets							
SEXY CORSET	€35,90		Sexy Corset Black-red. 	S/M 	Corsets							
BLACK BURLESQUE CORSET & PETTICOAT	€49,90		Burlesque strapless corset with side hook & eye closure, lace-up back and matching thong. Comes with matching petticoat. 	L/XL	Corsets							
CORSAGEN-SET, RED	€35,50	€9,90	"Seduction in red!  Red velvet wired corsage with lace adornment on the décolleté, rhinestone buckle below the bosom and incorporated forming bones. Hook closure in the front. Comes with matching thong. 
90% polyester, 10% spandex."	75B/S | 80B/M	Corsets							
DENIM CORSAGE	€49,90	€15,90	"Can be combined variously!  Corsage made of blue denim with 4 metal bones on the sides. Hook closure in the front and decorative lacing in the back. 
100% cotton."	S 	Corsets							
FANTASTIC CORSET	€35,90		"This fantastic corset is currently a hit in chilirose! Its predacious and sweet for girls, who like originality and feminity.
This brand-new corset possesses all fashion trends!
Red and black colour make a spicy mixture, which will vitalize this somber and autumnal days.
Amazing style causes, that in this corset all woman looks marvelous!
The corset is a perfect solution for every occasion, it matches for elegant dresses and casual trousers.
The corset is made from red and black satin material with a bond in the back.
Package includes:
-corset
-string"	S/M/L/XL/XXL 	Corsets							
BELLA CORSET	€35,90		"Every women must sometimes completely forget about everything, get away from the humdrum reality, just dream ... In this beautiful corset youll feel very sexy. Youll discover your hidden erotic potential! Enjoy your man and unleash the hot Spanish temperament! Elegant and provocative corset, made of light shining fabric with a floral pattern. Sexy decent proposal. Delivered in its original beauty full glossy Box INCLUDES:

corset and string
"	M/L/XXL 	Corsets							
BLACK CORSET WITH FLORAL DESIGN	€24,90		Corset with Floral Design includes corset and g-string.  Material: satin	S/M/L/XL/XXL 	Corsets							
RED CORSET WITH FLORAL DESIGN	€24,90		Corset with Floral Design includes corset and g-string.  Material: satin	S 	Corsets							
RED-BLACK LACE CORSET	€24,90		Flirty and Fun! Adorable strapless boned corset featuring flirty ruffles and bow accents.  Material:  Acrylic+ Lace 	S/M/L/XL	Corsets							
WHITE-BLACK LACE UP CORSET	€24,90		Flirty and Fun! Adorable strapless boned corset featuring flirty ruffles and bow accents. 	S/M 	Corsets							
SEXY NURSE CORSET COSTUME SET	€24,90		Sexy nurse costume. Material : Acrylic+ Spandex	S/M/L/XL/XXL 	Corsets							
MUSTRIGA KORSETT KOOS SUKAHOIDJATEGA	€25,90		"Material : 100% polyester . Color black

Leopard mesh and lycra bustier with underwire cups and neckline panel with halter tie straps. Bustier features elasticized waist, boning, center back hook & eye closure and attached Garters. G-string is included but not for the stockings."	ONE	Corsets							
SCULPTURAL BLACK BONED CORSET	€24,90		Sculptural Black Boned Corset . Material : Satin	S 	Corsets							
RAVISHING BROCADE EYELET BONED CORSET	€24,90		"Ladylike and sexy! We love this Ravishing Brocade Eyelet Boned Corset with its elegant sweetheart neckline, slimming boning, convinient side zip and lace up detailing. The leather with eyelet decoration front and beaded flower in center adds you trendy fashion element and feminine charm. Come with the intimate G-string. Material : 90% polyester + 10% spandex
Color black"	S/L/XL/XXL	Corsets							
LUXURIOUS PTERIS JACQUARD CORSET WHITE	€28,90	€24,90	Limited edition. Made by first-class jacquard fabric with lavish texture and elegant design, Luxurious Pteris Jacquard Corset features a sweetheart neck line, strapless silhouette, back lace-up and front satainless steel opening, belt fasterner buckles embellishement at the waist. Boning and streamlining panels throughout provide a sculpted hourglass figure. Match with complimenting G-string for an unforgettable look. Material : 90% polyester +10%spandex	S/L 	Corsets							
WHITE STUNNING CORSET	€19,90		"Handmade by the only the most skilled tailors in our factory, this White Stunning corset is also fully lined on the inside for a comfortable wear. Best quality, this classic corset creates a sophisticated and elegant look. The cut of our sexy corsets makes them ideal for creating an hourglass feminine figure; the garment will take 4"" off your waistline if desired. Material : Damask"	S/M/XL/XXL/XXXL	Corsets							
ZIPPER LEATHER CORSET, BLACK	€29,90		"Zipper Leather Corset with g string . Corsets can be teamed with a pair of sexy panties. Another addition could be garters that can help you combine the sexiness with thigh highs.
Leather corsets are clearly the most popular choice of innerwear for women around the world for looking sexy, fits you well as well as makes you look appealing.
Material : Vinyl
"	S/M/L/XL 	Corsets							
BLACK SEQUIN NECK LINE CORSET	€27,90		"Black Sequin Neck Line Corset . Material : Acrylic+ Spandex
Color black"	S/L 	Corsets							
LUXURIOUS LEATHER CORSET WITH SKIRT, RED	€49,90		Luxurious Leather Corset with Skirt . Material : PVC	S/M/L/XL/XXL	Corsets							
CREAMY LVORY RENAISSANCE CORSET TOP	€24,90		Beautifully designed shirred satin bust corset with elegant brocade side zipper and lace up back.   Material: Satin	S/M/L/XL/XXL	Corsets							
CORSET + STRING BLACK-WITHE	€39,90		CR-3344 Corset + String 	S/M/L/XL 	Corsets							
BLACK SATIN CORSET WITH STRING	€35,90		"Play with your mind see what you find!  This set makes you look very sexy end hot. 
 SET INCLUDES:


corset and string"	S/L/XL/XXL	Corsets							
CORSET + STRING, PURPLE	€35,90		"Original and very sexy corset is a perfect ideal for ladies who love to stand out.  This Corset has not only rock and roll character but also is sweet and innocent  it is very hot mix!
Charming purple bow attract the eye and soothe the character of this costume.
It mathces perfect with the separate available Lalitha-skirt from our new collection
It emphasizes the beauty of feminine shapes, and it has great looks at the danceflor as well!
No one can resist you!
Set includes: Corset with removable shoulder straps and String

"	S/L/XL 	Corsets							
CORSET + STRING	€35,90		"Be his own beauty goddess and prove him, that theres no sexiest woman in the world! This exclusive corset will underline all your charms and youll become his dreamed temptress!  Special cut will make your waist tight like top models and your breast will look fabulous! The corset is made from satin, gold material covered with black lace.In opposition to standard corsets, this one has got fastener in the front, in form of metal hooks.
Package includes:


-corset


-string"	S/M/L/XL/XXL	Corsets							
RED CORSET + STRING	€35,90	€29,90	"Be his own beauty goddess and prove him, that theres no sexiest woman in the world! This exclusive corset will underline all your charms and youll become his dreamed temptress! The corset is made from satin, red material covered with black lace. Package includes:


-corset


-string"	S 	Corsets							
BLACK LEVEL - VINYL CORSAGE	€59,90	€35,90	"Extra long cut suspender corsage made of black vinyl with elaborated hip. With forming bones, hook closure and decorative lacing.100% polyester with polyurethane-coating. Without stockings.
"	S 	Corsets							
WAIST CINCHER CORSET+STRING	€35,90		"Beautiful corset that you fall in love with! Beautiful colors and unusual design make you feel elegant and very feminine. This corset is a beautiful addition to your everyday clothes (like jeans or skirts). With a long black dress will create a unique and highly original set for evening! SET INCLUDES:


corset and string


Deliverd in its original beautyfull bordo glossy Box"	S 	Corsets							
GRAZIA CORSET+STRING	€35,90		"Fantastic Satin Brocade Corset/Bustier with busk closure and boning, laced on the back. Color Satin gold with black lace trimmings. SET INCLUDES:


corset and matching string


Delivered in its original beauty-full bordo glossy Box


Corset with matching G-String"	S/L/XL 	Corsets							
CORSAGE DRESS, BLACK	€74,95		Knee-length corsage dress with forming bones and a front hook closure. Full-length lacing in the back. 100% polyester.Black.  	S 	Corsets							
SATIN BROCADE CORSET + STRING	€35,90		"Gorgeous Satin Brocade Corset/Bustier with busk closure and boning laced on, color creme satin. SET INCLUDES


corset and sexy string
"	S/M/L 	Corsets							
JESSICA CORSET	€35,90		"Gorgeous Satin Brocade boned Corset with busk closure and boning laced on the back comes with matching G-String color light-blue with light-pink . Deliverd in its original beauty-full glossy Box.
 SET INCLUDES:

corset and string"	S/M/XL 	Corsets							
WILDCAT CORSET WITH STRING	€35,90		"Wild female cat! Original and amazing corset it's a proposition for a woman which like to be SEXY!! Excellently linking the rock and roll with the sweetness.  Charming, bows and frills are attracting ... eyes and they are relieving character of the entire dress  draperies of the corset are enlarging the bosom optically and vertical black digressions are making THE WAIST LOOK SLIMMER.  SET INCLUDES:


corset and string
"	S/M/L/XL/XXL	Corsets							
BLACK SATIN CORSET WITH STRING	€35,90		" Play with your mind see what you find!
 SET INCLUDES:


corset and string
"	S/M/L/XL/XXL	Corsets							
CORSET + SKIRT + STRING AND NECKLACE	€69,90		Corset + skirt + string and necklace 	S/M/L 	Corsets							
RAVISHING CORSET TOP WITH G-STRING	€57,60	€39,90	"Ravishing Corset Top is the perfect centre piece for any burlesque outfit. It is tailored to exacting standards and will reduce your waistline by up to 5"" if desired. Perfect for those nights out where you want to look and feel simply gorgeous. Material : Faux leather
Color black


Features:
Acrylic Bones
Stainless Steel Busk Closure
Ribbon Lacing
Bust line: Sweetheart
Hook & Eye Closure
No Suspender Loops
"	S/M/L/XL/XXL	Corsets							
BLACK/WHITE BODYCON MIDI DRESS	€28,90		"Black/white Bodycon Midi Dress . Color: black/white
O-neck
Short Sleeves
Good stretch, comfortable while you are sexy"	S/M 	Dresses							
PUNANE PIKK ÕHTUKLEIT	€39,90		"Punane pikk õhtukleit . Värv: punane

Suurus: üks suurus

Materjal: polüester + spandex
"	ONE	Dresses							
ELEGANT WHITE EVENING DRESS	€39,90		"Elegant White Evening Dress . Color: white

Material: Polyester + spandex

Strapless

Sleeveless"	M/L	Dresses							
BEAUTUL BLUE LACE EVENING DRESS	€39,90		Beautul Blue Lace Evening Dress. Material: polyester + spandex. 	ONE	Dresses							
BEAUTUL IVORY LACE EVENING DRESS	€39,90		Beautul Ivory Lace Evening Dress . Material: polyester + spandex. 	M/L	Dresses							
BLACK LACE EVENING DRESS	€42,90		"Black Lace Evening Dress . Material : Polyester + Spandex

Off-Shoulder

Color: black

Size: one size"	ONE	Dresses							
LOW BACK LACE EVENING DRESS, RED	€39,90		"Low Back Lace Evening Dress . Material : Polyester + Spandex

Color: Red

Size: one size"	ONE	Dresses							
LOW BACK LACE EVENING DRESS, PINK	€39,90		"Low Back Lace Evening Dress . Material : Polyester + Spandex

Color: pink"	ONE	Dresses							
LOW BACK LACE EVENING DRESS	€39,90		Low Back Lace Evening Dress . Material : Polyester + Spandex  Color: Black Size: one size	ONE	Dresses							
ALL OVER SEQUINS ONE SHOULDER GODDESS LONG EVENING DRESS - BLACK	€29,90		All over sequins one shoulder goddess long evening dress . Color: black	ONE	Dresses							
LONG BANQUET DRESS - VIOLET	€19,90		Long banquet dress . Color: violet	ONE	Dresses							
BLUE METALLIC LOOK LACE LONG EVENING DRESS	€59,90		"Blue Metallic Look Lace Long Evening Dress . Material: 95% polyester 5% spandex

Sleeveless"	ONE	Dresses							
BLACK METALLIC LOOK LACE LONG EVENING DRESS	€59,90		"Black Metallic Look Lace Long Evening Dress . Material: 95% polyester 5% spandex

Sleeveless
"	ONE	Dresses							
BLACK LACE TURTLENECK MIDI DRESS	€29,99		"Black Lace TurtleNeck Midi Dress . Color: black
Sleeveless
Length: knee
Turtleneck
Size: one size
Material: polyester, spandex"	ONE	Dresses							
WHITE LACE TURTLENECK MIDI DRESS	€29,99		"Black Lace TurtleNeck Midi Dress . Color: white
Sleeveless
Length: knee
Turtleneck
Size: one size
Material: polyester, spandex"	ONE	Dresses							
LONG SLEEVE WHITE LACE MIDI DRESS	€39,90		"Long Sleeve white lace midi dress . Color: white
Material: polyester, spandex
Long sleeve
V-neck
Size: one size"	ONE	Dresses							
BLACK FASHION LACE DRESS	€23,90		"Black Fashion Lace Dress . Color: black
O-neck
Sleeveless
Length: knee
slight cut-out in the back"	M/L 	Dresses							
RED FASHION LACE DRESS	€23,90		"Red Fashion Lace Dress . Color: red
O-neck
Sleeveless
Length: knee
slight cut-out in the back"	M/L 	Dresses							
RED BELTED MIDI DRESS	€19,99		"Timeless and sophisticated midi dress emphasizes your beautiful bust and figure . Color: red
V-neck
Length: knee
Detachable belt
Size: one size"	ONE	Dresses							
BLACK BELTED MIDI DRESS	€19,99		"Timeless and sophisticated midi dress emphasizes your beautiful bust and figure . Color: black
V-neck
Length: knee
Detachable belt
Size: one size"	ONE	Dresses							
WHITE BELTED MIDI DRESS	€19,99		"Timeless and sophisticated midi dress emphasizes your beautiful bust and figure . Color: white
V-neck
Length: knee
Detachable belt
Size: one size"	ONE	Dresses							
LONG RED GOWN	€29,90		"Long Red Gown with ruching on the waistline.  V-neck
Color: red
Size: one size"	ONE	Dresses							
BLACK SEQUINED MAXI GOWN	€79,90		"Black Sequined Front Slit Padded Maxi Gown . Color: black
Sleeveless
V-neck
Material: polyester+spandex"	M/L	Dresses							
LONG LACE EVENING DRESS, BLACK	€28,90		"Long Lace V-Neck Evening Dress, black.  Material : 95%Polyester + 5%Spandex

Size: One Size

Color: Black
"	ONE	Dresses							
BLACK MIDNIGHT CHEONGSAM STYLE LONG DRESS	€19,90		Incredibly sexy and erotic, this black lace gown barely covers but will still have him wanting to seek what is beneath. Fine floral lace cut in a very playful design with side thigh splits. It’s the same style with our unique Chinese gown, high round neck, sleeveless and a slim fit shell with slits, so classic. It also comes with g-string to make a complete flattering look.  Material : 100% Polyester	ONE	Dresses							
MERMAID COSTUME	€29,90		This sexy 2pc Sequin Metallic Mermaid Princess Gown Costume features a long shimmering aqua stretch strapless dress with organza ruffle trimmed and fish scale sequined bodice, sleek luster shell and ruched skirt hem with organza layered fish tail detail, made in sexy body-hugging silhouette. You appear as beautiful as a elegant mermaid princess with this stunning mermaid costume! Material : polyester+spandex	ONE	Dresses							
LONG BLACK DRESS	€49,90		Long black dress 	ONE	Dresses							
TWO-TONED DRESS	€39,90		Two-toned dress. 	ONE	Dresses							
CHIFFON MAXI DRESS	€19,90		Black chiffon maxi dress. 	ONE	Dresses							
LATEX DRESS	€19,90		The black latex dress. 	ONE	Dresses							
WHITE EMBROIDERED SEXY GOWN AND G-STRING	€19,90		Make your first night special and romantic with our sexy sheer bride gown. Sexy white gown with embroidered bodice, underwire cups, adjustable straps, princess seams, revealing sight slits, low back, satin bow details and matching embroidered g string. Material : 100% Polyester	XS-M	Dresses							
MAXI DRESS WITH LACE BACK AND FISHTAIL	€35,90	€29,90	Made from a stretch poly fabric, this Maxi Dress with Lace Back and Fishtail is comfortable and very friendly to your skin. The ankle-length design makes you become tall and elegant once slip in. Really a wonderful option to every sexy occasion such as soiree, evening party and big events etc. Material : 100% Polyester	XXL 	Dresses							
ELEGANT DRESS WITH X-STRAPS AND STUDS	€49,90		Elegant dress with x-straps and studs . 95% Polyester / 5% Cotton. LEOPARD, WHITE	ONE	Dresses							
KATE HOLLOW-OUT MIDI DRESS BLACK	€34,90		"Whether it is a prom dress, lantern dress or bodycon dress, this Kate Hollow-out Midi Dress should take prime position in every wardrobe this season. The sexy revealing detail is the most stands out point from any angle. You will feel extremely fashionable and more slender than you are.  Material : 100%Polyester
Color : Black"	ONE	Dresses							
KATE HOLLOW-OUT MIDI DRESS RED	€34,90		"Whether it is a prom dress, lantern dress or bodycon dress, this Kate Hollow-out Midi Dress should take prime position in every wardrobe this season. The sexy revealing detail is the most stands out point from any angle. You will feel extremely fashionable and more slender than you are.  Material : 100%Polyester
Color : Red"	ONE	Dresses							
COTTELLI COLLECTION DRESS BLACK	€65,90	€59,95	Glossy black dress with a detachable halterneck. Triangle net inserts in the lower part provide full moveability when walking. Covered zipper in the back. 50% polyester, 50% polyurethane. 	M/S 	Dresses							
"EVENING DRESS ""SATIN"""	€49,90		Stylish evening dress. Material: acrylic, spandex 	S-L	Dresses							
BLACK PEPLUM MAXI DRESS WITH DROP SHOULDER	€39,90		"Many women like wearing peplum dresses especially for the cheerful party night. This Black Peplum Evening Dress with Drop Shoulder is a maxi peplum dress that is exclusively made for parties. To better flaunt the sexiness of the wearer, this evening dress accentuates the alluring chest with fluent waves and cut into low back design. There is a concealed zipper on the back, you can easily put on/off it.  Material : Polyester + Spandex
Color black"	M/L/XL 	Dresses							
SEXY LONG DRESS	€39,90		Color: black 	ONE	Dresses							
BLACK LACE PARTY DRESS WITH FLOUNCING HEMLINE	€29,90		Black lace party dress with flouncing hemline.  Material : polyester+spandex	S-L	Dresses							
WHITE MERMAID LACE MAXI EVENING GOWN	€39,90		"Unleash your inner goddess in this luscious lace gown.  Color: White
Material: Polyester, Spandex"	M/L	Dresses							
LONG EVENING DRESS WITH LOW CUT-OUT BACK	€19,90		"The perfect maxi evening dress to make statements where ever you go!.  Material: Polyester, Spandex
Size: One Size. Grey, Red"	ONE	Dresses							
BEAUTIFUL LONG EVENING DRESS	€29,90		"Beautiful long dress for a special occasion. Sequined and side slit.

Color: Black
Material: Polyester"	ONE	Dresses							
SWERVE HALTER TWO-TONE EVENING DRESS	€19,95		"Make yourself a elegant celebrity with this Swerve Halter Two-tone Evening Dress! Ingeniously combine the tightfitting bodice with flowing loose hemline, it is definitely going to lend your feminine grace. It is suitable for dinner parties, annual meetings and all the other formal occasions. Get glammed up in this beautiful maxi dress that flatters any woman's shape!  One size
Material : Polyester+Spandex"	ONE	Dresses							
MERMAID BODYCON, BLACK	€29,90		High quality gown for fashion-conscious modern women want to look sexy elegant and comfy at the same, it’s a piece of quick-change artist for all kinds of situations featuring body-hugging shape in a graceful floor-length, crew neck, long sleeves and center front cut out reveals skin and half bust. Mermaid hemline has this gown a demure noble appearance. Material : Polyester + Spandex	ONE	Dresses							
MERMAID BODYCON, WHITE	€29,90		High quality gown for fashion-conscious modern women want to look sexy elegant and comfy at the same, it’s a piece of quick-change artist for all kinds of situations featuring body-hugging shape in a graceful floor-length, crew neck, long sleeves and center front cut out reveals skin and half bust. Mermaid hemline has this gown a demure noble appearance. Material : Polyester + Spandex	ONE	Dresses							
LONG BLACK EVENING DRESS	€39,90		Long black evening dress with  cut out shoulders design. Material: 100% polyester	S-L	Dresses							
GLAM BLACK MESH PATTERN HOURGLASS EVENING DRESS	€39,90		"Halter evening dress featuring mesh pattern insets in front. Hourglass fit for accentuating off your sexy curves. The mermaid style shape in maxi length is voluptuous, fitted and caters to the body structure. Two colors available online, one size fits most. Material : polyester + spandex
Color black"	S-L	Dresses							
BLACK LEVEL - LACK DRESS	€87,90	€29,95	Long vinyl dress with front lacing and 2-way zipper down to the edge, With back lacing and adjustable straps,  50% polyurethane, 50% polyester	S/M 	Dresses							
RHINESTONE EMBELLISHMENT BROCADE CORSET BLACK	€39,90		"Lift-up and body-shaping. Sexy sweetheart bandeau with sparkling rhinestone applique bust line and ruffled lace trim. Front Stainless steel closure and adjustable strong cord lacing back. 14 double layer plastic bones. Color black
Material: 90% polyester, 10% spandex"	S/L/XL/XXL	Queen Size							
WET LOOK BLACK DRESS, XXL	€29,90		"Wet Look Black Dress, XXL . Color: black

Size: XXL (PluS Size)

Material : 100% Polyester"	XXL 	Queen Size							
BLACK SKATER DRESS, XXL	€34,90		"Black Skater Dress, XXL . Material : Polyester + Spandex

Length: above knee

O-neck

Color: black
"	XXL 	Queen Size							
BLACK LACE DRESS, XXL	€34,90		"Black Lace Dress, XXL . Material : Polyester + Spandex

V-neck

Color: black"	XXL 	Queen Size							
BLACK KIMONO-STYLE DRESS XXL	€34,90		"Black Kimono-style dress XXL . Material : Polyester + Spandex

Color: Black"	XXL 	Queen Size							
BLACK MINI-DRESS, XXL	€34,90		"Black mini-dress, XXL . Material : 95% polyester + 5% Spandex

Color: black O-neck

Long sleeve
"	XXL 	Queen Size							
MUST MAXI-KLEIT, XXL	€34,90		" Black Maxi Dress, XXL. Material : polyester+spandex

V-neck

Sleeveless

Color: black"	XXL 	Queen Size							
TRENDY BLACK LACE OVERLAY MINIDRESS, XXL	€34,90		"Trendy black lace overlay minidress, XXL . Material : polyester+spandex

Color: black

Size: XXL

O-neck

Short sleeves
"	XXL 	Queen Size							
NETTY MESH OVERLAY MINI DRESS, XXL	€34,90		"Netty Mesh Overlay Mini Dress, XXL. Material : 95%Polyester + 5%Spandex

Color: black

Size: XXL

O-neck

Short sleeves"	XXL 	Queen Size							
PLUS SIZE BLACK FLORAL LACE ROMPER	€34,90		"Plus Size Black Floral Lace Romper . Material : polyester+spandex

Short sleeve

V-Neck

Color: black

Size: XXL"	XXL 	Queen Size							
CHIFFON TOP WHITE DRESS, XXL	€34,90		"Chiffon top white dress, XXL . Material : polyester + spandex

Color: As Shown

Size: XXL

O-neck and no sleeve.
"	XXL 	Queen Size							
PLUSS-SIZE BLACK BABYDOLL XXL	€24,90		"For a well-planned night, this gown is very sexy to make your intimate lover cheer up for your alluring silhouette. Sexy mesh gown with lace detail waistline enhancing you a sexy curve, scalloped lace V-neck on both front and back, flirty split to the thigh and sexy thong matched.  Color black
Material : polyester + spandex"	XXL 	Queen Size							
FLIRTY KITTEN DRESS PLUS SIZE	€49,90		FLIRTY KITTEN DRESS PLUS SIZE . Material: 85% polyester, 15% elastane	XL/XXL	Queen Size							
JEANS CORSET-SKIRT	€22,90		Jeans Corset-skirt 	S-XXL	Queen Size							
PINK EROTIC FOREPLAY LACE TEDDY, PLUS SIZE	€16,90		Pink Erotic Foreplay Lace Teddy, plus size . Material: Polyester + Spandex	XXL 	Queen Size							
PLUS SIZE BLACK CORSET	€24,90		Plus Size Black Corset . Material : 90% Polyester +10% Spandex	2XL/4XL/5XL/6XL	Queen Size							
RED PLUS SIZE CORSET	€25,90		"Red Plus Size Corset. Material : polyester+cotton+Elastan

Color: Red"	3XL/4XL/5XL/6XL	Queen Size							
WHITE PLUS SIZE CORSET	€25,90		"Red Plus Size Corset. Material : polyester+cotton+Elastan

Color: White"	3XL/4XL/5XL/6XL	Queen Size							
LONG TRANSPARENT BLACK BABYDOLL, XXL	€18,90		"Long transparent black babydoll, XXL . Material: Polyester+Spandex'

Color: black"	XXL 	Queen Size							
BLACK LACE JUMPSUIT, XXL	€49,90		"Black lace jumpsuit, XXL . Material : Polyester + Spandex

Color: black
"	XXL 	Queen Size							
PLUS SIZE BLACK STRAPPY BACK MIDI DRESS	€24,90		"Plus Size Black Strappy Back Midi Dress . Material : Polyester+Spandex

Color: as shown

Sleeveless

O-Neck
"	2XL/3XL/4XL	Queen Size							
NAVY MINI DRESS, XXL	€34,90		"Navy mini dress, XXL. Material : Polyester+Spandex

Color: navy blue
"	XXL 	Queen Size							
LA DOLCE VITA, PINK XXL/XXXL	€19,90		"Sleeveless fishnet mini dress with solid stretch fabric centre section, neckline and hem. Fence net cleavage cut out detail. Adjustable shoulder straps.   Color: pink
Material: 92% polyamide 8% elasthan"	XXL/XXXL	Queen Size							
I HOLA GUAPA BLACK XXL/XXXL	€39,90		"Bring the heat in this beautiful Hola Guapa set. The cami is made of a stretchy floral lace and has a delicate scalloped neckline, lace-up deep V front and full length sleeves.   Thong included.

Size: XXL/XXXL
Color: black
Material: 82% polyamide, 18% elasthan"	XXL/XXXL	Queen Size							
VANITY VAMP SET XXL/XXXL, RED	€36,90		"Vamp it up in the bedroom! The naughty set has a lace halter bra with satin bow detailing. The very short mesh skirt with ruffled trim and lace waist band is sure to tease your lover's senses. Matching mesh G-string included. - Bra
- Skirt
- G-strings

Color: red
Material: 90% polyamide 10% elasthan
Size: XXL/XXXL"	XXL/XXXL	Queen Size							
GRACE IN LACE NIGHT ROBE, PURPLE XXL/XXXL	€36,90		"Graceful sheer night robe.  Size: XXL/XXXL
Color: purple
Material: 100% polyamide"	XXL/XXXL	Queen Size							
SWEET SENORITA SET, XXXL	€42,90		"Set includes:  - Top (adjustable straps, mesh panels, a ruffled hem and detachable garters)
- G-strings

Size: XXXL
Color: as shown
Material: 85% polyamide, 10% polyester, 5% elasthan"	XXXL	Queen Size							
BLONDE BOMBSHELL SET, XXL/XXXL	€29,90		"Blonde Bombshell set:  - Chemise
- G-Strings

Size: XXL/XXXL
Color: black
Material: 90% polyester, 10% elasthan"	XXL/XXXL	Queen Size							
PLUMP LADY BABYDOLL (XL,XXL)	€26,90		"Plump Lady Babydoll . Color: as shown
Size: XL/XXL"	XL/XXL	Queen Size							
SEXY CUT IT OUT MINI DRESS (XL/XXL)	€48,90		Sexy Cut it Out Mini Dress 	1XL| 2XL	Queen Size							
LEOPARD BOW PANTIES XXL/XXXL	€19,90		"Hipster brief with lace front and tulle back, decorated with a unique leopard print bow and lace ribbons. Color: as shown
Material: 90% polyamide, 10% elasthan"	XXL/XXXL	Queen Size							
